No.,Cod.,"Centro de Costo","Punto BI",Agencia,Ubicación,Dirección,"Tiempo de respuesta","Base de Patrullaje","Patrullaje Para Abastecimiento","TIEMPO DE RESPUESTA (MN)","SECTOR OPERATIVO",VALORES
577,C314,08.5.058,CAJERO,"ATM IRTRA ZONA 9 (C314) QSA",LOCAL,"7ma. Avenida 7-24 zona 9 1er. Nivel",0:10:00,"Zona 9",NO,"Sin Cobertura",,EBANO
578,C315,08.4.057,CAJERO,"ATM WALMART SAN NICOLAS II (C315) AGENCIA",LOCAL,"41 avenida 3-10, Centro Comercial Plaza San Nicolá",0:10:00,"Shell Rodeo Zona 3 de Mixco",PREAUTORIZADO,0.006944444,,EBANO
579,C317,08.5.059,CAJERO,"ATM CAMARA DE LA INDUSTRIA (C317) FORZA",LOCAL,"Ruta 6 9-21 Zona 4",0:10:00,"Base Shell Carmel",NO,"Sin Cobertura",,EBANO
580,C318,08.3.093,CAJERO,"ATM MARISCAL (C318) AGENCIA",LOCAL,"Calzada Aguilar Batres  y 13 Calle Zona 11",0:10:00,"Base Shell Aguilar Batres",NO,"Sin Cobertura",,EBANO
581,C319,08.3.094,CAJERO,"ATM LA PARROQUIA (C319) AGENCIA",LOCAL,"15 av. 5-00 z.6",0:10:00,"Base B.I. Parroquia",NO,"Sin Cobertura",,EBANO
582,C320,08.3.095,CAJERO,"ATM LA QUINTA (C320) AGENCIA",LOCAL,"C. San Juan 13-90 Z. 7 C.C. La Quinta",0:10:00,"Base Shell Kaminal",NO,"Sin Cobertura",,EBANO
583,C321,08.3.096,CAJERO,"ATM ESQUIPULAS (C321) AGENCIA",DEPARTAMENTAL,"3av.  Calle principal 9 calle z.1",0:10:00,"Agencia Esquipulas",NO,"Sin Cobertura",,EBANO
584,C322,08.5.060,CAJERO,"ATM INGENIO SAN DIEGO (C322) FORZA",DEPARTAMENTAL,"Km 7.5 Carretera a Antigua Guatemala, Escuintla",0:20:00,"Agencia Escuintla",NO,"Sin Cobertura",,EBANO
585,C323,08.3.097,CAJERO,"ATM BARBERENA (C323) AGENCIA",DEPARTAMENTAL,"km 53.2 carretera al Salvador",0:10:00,"Agencia Barberena",NO,"Sin Cobertura",,EBANO
586,C325,08.3.098,CAJERO,"ATM SANTA LUCIA COTZ. (C325) AGENCIA",DEPARTAMENTAL,"3av. 2-65 z.1 Santa Lucia",0:10:00,"Agencia Santa Lucia",NO,"Sin Cobertura",,EBANO
587,C326,08.4.059,CAJERO,"ATM C.C. PACIFIC  CENTER (C326) FORZA",LOCAL,"Calzada aguilar Batres   32-00 Zona 11 C.C. Pacific Center",0:10:00,"Base Shell Aguilar Batres",NO,"Sin Cobertura",,EBANO
588,C327,08.3.099,CAJERO,"ATM MORALES (C327) AGENCIA",DEPARTAMENTAL,"Av.SImon Bolivar 5-82 zona 1",0:10:00,"Agencia Morales",SI,"Sin Cobertura",,EBANO
589,C328,08.3.100,CAJERO,"ATM SALAMA (C328) AGENCIA",DEPARTAMENTAL,"4a calle 6-39 zona 1 CC.Plaza Crist.",0:10:00,"Agencia Salamá",SI,"Sin Cobertura",,EBANO
590,C329,08.3.101,CAJERO,"ATM EL FARO (C329) PROSEGUR",LOCAL,"km. 17.9 Carret. Sn José Pinula ",0:10:00,"Base Shell Condado",NO,"Sin Cobertura",,EBANO
591,C330,08.4.063,CAJERO,"ATM MEGA SEIS  (C330) PROSEGUR",LOCAL,"15 av 16-11 Zona 6 c.c.Mega seis",0:10:00,"Base B.I. Parroquia",NO,"Sin Cobertura",,EBANO
592,C332,08.5.067,CAJERO,"ATM REFRIGUA (C332) PROSEGUR",LOCAL,"48 av 2-85 zona 7 Colonia el Rodeo",0:10:00,Florida,NO,"Sin Cobertura",,EBANO
593,C333,08.4.061,CAJERO,"ATM PLAZA OBELISCO (C333) PROSEGUR",LOCAL,"16 calle 1-01 Zona 10 C.C. Plaza Obelisco",0:10:00,"Base Zona 10",NO,"Sin Cobertura",,EBANO
594,C334,08.3.106,CAJERO,"ATM ASUNCION MITA (C334) AGENCIA",DEPARTAMENTAL,"2a calle entre 4a y 5a Av. Zona 1",0:40:00,"Agencia Jutiapa",NO,"Sin Cobertura",,EBANO
595,C335,08.4.062,CAJERO,"ATM C. C. ATANASIO (C335) AGENCIA",LOCAL,"50 calle Av. Petapa zona 12",0:10:00,"Base Shell Santa Elisa",NO,"Sin Cobertura",,EBANO
596,C336,08.3.105,CAJERO,"ATM MULTIMEDICA (C336) AGENCIA",LOCAL,"2a. Calle 25-19 z. 15 Vista Hermo.1",0:10:00," Base B.I. Vista Hermosa",NO,"Sin Cobertura",,EBANO
597,C339,08.5.071,CAJERO,"ATM CROPA PANALPINA (C339) PROSEGUR",LOCAL,"3a calle 6-70 Zona 13 Pamplona",0:10:00,"Zona 14",NO,"Sin Cobertura",,EBANO
598,C340,08.5.070,CAJERO,"ATM LA MONTAÑA (C340) FORZA",LOCAL,"Km 18.5 Carret San Juan Sac, Club La Mont.",0:10:00,"Base Shell Florida",NO,"Sin Cobertura",,EBANO
599,C343,08.3.108,CAJERO,"ATM LA TRINIDAD REU (C343) AGENCIA",DEPARTAMENTAL,"C.C. La Trinidad Retalhuleu",0:10:00,"Agencia Retalhuleu",NO,"Sin Cobertura",,EBANO
600,C347,08.3.109,CAJERO,"ATM CHICHICASTENANGO (C347) AGENCIA",DEPARTAMENTAL,"6a calle 6-05 Chichicastenango",0:10:00,"Agencia El Quiche",NO,"Sin Cobertura",,EBANO
601,C348,08.5.075,CAJERO,"ATM SAN MARTIN I (C348) PROSEGUR",LOCAL,"2a Av. 13-30  zona 10",0:10:00,"Base Zona 10",NO,"Sin Cobertura",,EBANO
602,C350,08.4.064,CAJERO,"ATM PRADERA CONCEPCION NIVEL 1 (C350) PROSEGUR",LOCAL,"Km. 15.5 Carrt. al Salvador C.C. 1er. Nivel",0:10:00,"Base Shell Condado",NO,"Sin Cobertura",,EBANO
603,C351,08.4.065,CAJERO,"ATM PRADERA CONCEPCION NIVEL 2 (C351) PROSEGUR",LOCAL,"Km. 17.5 Carrt. al Salvador C.C. 2er. Nivel",0:10:00,"Base Shell Condado",NO,"Sin Cobertura",,EBANO
604,C352,08.4.066,CAJERO,"ATM PRADERA CONCEPCION NIVEL 3 (C352) AGENCIA",LOCAL,"Km. 17.5 Carrt. al Salvador C.C. 3er. Nivel",0:10:00,"Base Shell Condado",NO,"Sin Cobertura",,EBANO
605,C353,08.4.079,CAJERO,"ATM TORRE VISTA HERMOSA (C353) PROSEGUR",LOCAL,"2a calle 18-30 Zona 15 Vista Hermosa",0:10:00," Base B.I. Vista Hermosa",NO,0.006944444,Canada,EBANO
606,C354,08.3.120,CAJERO,"ATM XOCOMIL II (C354) AGENCIA",DEPARTAMENTAL,"Kilometro 180.5 San Martin Zapotitlan Retalhuleu",0:25:00,"Agencia Retalhuleu",NO,"Sin Cobertura",,EBANO
607,C355,08.3.121,CAJERO,"ATM XOCOMIL III (C355) AGENCIA",DEPARTAMENTAL,"Kilometro 180.5 San Martin Zapotitlan Retalhuleu",0:25:00,"Agencia Retalhuleu",NO,"Sin Cobertura",,EBANO
608,C356,08.3.122,CAJERO,"ATM HOSTAL SAN MARTIN II (C356) AGENCIA",DEPARTAMENTAL,"Kilometro 180.5 San Martin Zapotitlan Retalhuleu",0:25:00,"Agencia Retalhuleu",NO,"Sin Cobertura",,EBANO
609,C357,08.5.086,CAJERO,"ATM SABRITAS (C357) QSA",LOCAL,"Calz San Juan 34-01 zona 7",0:10:00,Roosevelt,NO,"Sin Cobertura",,EBANO
610,C358,08.5.087,CAJERO,"ATM HERRERA LLERANDI (C358) PROSEGUR",LOCAL,"6a Av. 8-71 Zona 10",0:10:00,"Base Zona 10",NO,"Sin Cobertura",,EBANO
611,C359,08.5.088,CAJERO,"ATM CLUB CAMPESTRE SAN ISIDRO (C359) FORZA",LOCAL,"Finca San ISIdro zona 16, Santa RoSIta",0:10:00," Base B.I. Vista Hermosa",NO,"Sin Cobertura",,EBANO
612,C361,08.4.072,CAJERO,"ATM SELECT BELLA AURORA (C361) FORZA",LOCAL,"Av. Las Americas 10-01 zona 14",0:10:00,"Base Americas",NO,"Sin Cobertura",,EBANO
613,C362,08.5.089,CAJERO,"ATM INGENIO SANTA ANA II (C362) FORZA",DEPARTAMENTAL,"Km. 64.5 caret. A  Santa Lucia Cotz. Ingenio Santa",0:25:00,"Agencia Escuintla",NO,"Sin Cobertura",,EBANO
614,C363,08.3.123,CAJERO,"ATM PRADERA CHIMALTEN. (C363) AGENCIA",DEPARTAMENTAL,"7a calle 2-02 zona 2 c.c. Pradera",1:15:00,"Agencia Chimaltgo.",NO,"Sin Cobertura",,EBANO
615,C364,08.5.090,CAJERO,"ATM SACOS AGROINDUSTRIALES (C364) FORZA",DEPARTAMENTAL,"San Pedro Las Huertas, Apto 84 Antigua Guat.",0:20:00,"Agencia Antigua",NO,"Sin Cobertura",,EBANO
616,C366,08.3.124,CAJERO,"ATM WALMART ROOSEVELT II (C366) AGENCIA",LOCAL,"Calzada Roosevelt 26-95 Hiper Paiz Roosevelt",0:10:00,"Base B.I. Calzada Roosevelt",NO,0.006944444,Francia,EBANO
617,C367,08.5.077,CAJERO,"ATM MARINA DEL SUR (C367) FORZA",DEPARTAMENTAL,"Km 125 Aldea El Carrizal, Puerto de San Jose, Escuintla",0:10:00,"Marina del Sur",NO,"Sin Cobertura",,EBANO
618,C370,08.4.067,CAJERO,"ATM PASEO SAN SEBASTIAN (C370) PROSEGUR",LOCAL,"Km. 14.5 Carrt. al Salvador C.C.",0:10:00,"Base Shell Condado",NO,"Sin Cobertura",,EBANO
619,C372,08.5.079,CAJERO,"ATM EXPO GRANEL (C372) FORZA",DEPARTAMENTAL,"1a Av 4 calle Recinto Portuario Quetzal",0:15:00,"Agencia Pto. San Jóse",NO,"Sin Cobertura",,EBANO
620,C373,08.4.082,CAJERO,"ATM PLAZA SAN LUCAS (C373) FORZA",DEPARTAMENTAL,"Km 29.9 Carret. Interamericana San Lucas",0:10:00,"Agencia Antigua",NO,"Sin Cobertura",,EBANO
621,C374,08.5.092,CAJERO,"ATM U. RAFAEL LANDIVAR (C374) AGENCIA",LOCAL,"Vista Hermosa III Edifico Tec. UniverSIdad",0:10:00," Base B.I. Vista Hermosa",NO,"Sin Cobertura",,EBANO
622,C375,08.3.110,CAJERO,"ATM AUTO  PLAZA ATANASIO  (C375) AGENCIA",LOCAL,"Blv. AtanaSIo Tzul 51-57 zona 12",0:10:00,"Base Shell Santa Elisa",NO,"Sin Cobertura",,EBANO
623,C377,08.4.068,CAJERO,"ATM BOSQUES LAS LUCES (C377) PROSEGUR",LOCAL,"Carretera a El Salvador, Km 13,5 cruce a Piedra Parada",0:10:00,"Base Condado",NO,"Sin Cobertura",,EBANO
624,C378,08.4.069,CAJERO,"ATM SELECT ESCUINTLA (C378) FORZA",DEPARTAMENTAL,"1. C. 4-01 Zona 1 Escuintla",0:10:00,"Agencia Escuintla",NO,"Sin Cobertura",,EBANO
625,C380,08.3.112,CAJERO,"ATM SANTA AMELIA (C380) FORZA",LOCAL,"Blvrd. C. Médico Militar Zona 16",0:20:00,"Zona 15",NO,"Sin Cobertura",,EBANO
626,C382,08.3.114,CAJERO,"ATM MONT BLANC (C382) AGENCIA",DEPARTAMENTAL,"4a. Calle 18-01 Zona 3",0:10:00,"Agencia Xela",NO,"Sin Cobertura",,EBANO
627,C385,08.3.125,CAJERO,"ATM SEPTIMA AVENIDA (C385) AGENCIA",LOCAL,"7a. Avenida 11-15 Zona 1",0:10:00,"Base Texaco 24 Calle",NO,"Sin Cobertura",,EBANO
628,C386,08.3.115,CAJERO,"ATM COMERCIAL SAN CRISTOBAL (C386) AGENCIA",LOCAL,"Centro Comercial Plaza San Cristóbal Boulevar Principal",0:10:00,"Base Shell Aguilar Batres",NO,"Sin Cobertura",,EBANO
629,C387,08.5.108,CAJERO,"ATM LA FRAGUA (C387) PROSEGUR",LOCAL,"47 Avenida 5-80 Zona 3, Mixco",0:10:00,"Base Shell Florida",NO,0.006944444,Milan,EBANO
630,C388,08.3.126,CAJERO,"ATM MONTUFAR II (C388) AGENCIA",LOCAL,"12 Calle 0-93 Zona 9 Centro Comercial Montufar",0:10:00,"Base Zona 9",NO,"Sin Cobertura",,EBANO
631,C389,08.3.127,CAJERO,"ATM MONTSERRAT II  (C389 ) AGENCIA",LOCAL,"Calzada San Juan 14-06 Zona 4 Mixco.",0:10:00,"Base Shell Florida",SI,"Sin Cobertura",SI,EBANO
632,C390,08.4.333,CAJERO,"ATM SUP 24 KAMINAL (C390) PROSEGUR",LOCAL,"12 Avenida 3-00 Zona 7",0:10:00,"Base Shell Kaminal",NO,"Sin Cobertura",,EBANO
633,C391,08.3.118,CAJERO,"ATM MAZATENANGO II (C391) AGENCIA",DEPARTAMENTAL,"1a. Avenida Norte Zona 1 Mazatenango",0:10:00,"Agencia Mazatenango",NO,"Sin Cobertura",,EBANO
634,C393,08.5.081,CAJERO,"ATM INSESA STANDARD (C393) PROSEGUR",LOCAL,"0 C. 9-70 Zona 10 San Miguel Petapa",0:15:00,"Base Villa Nueva",NO,"Sin Cobertura",,EBANO
635,C394,08.3.116,CAJERO,"ATM WALMART NORTE I (C394) AGENCIA",LOCAL,"Km. 4.5 Carrt. Atlántico Z. 17 C.C. Hiper Norte",0:10:00,"Base Shell Norte",NO,0.006944444,España,EBANO
636,C395,08.3.117,CAJERO,"ATM WALMART NORTE II (C395) AGENCIA",LOCAL,"Km. 4.5 Carrt. Atlántico Z. 17 C.C. Hiper Norte",0:10:00,"Base Shell Norte",NO,0.006944444,España,EBANO
637,C397,08.4.074,CAJERO,"ATM COMERCIAL VILLA NUEVA (C397) AGENCIA",LOCAL,"Calz. Concepcion 5ta. Calle Zona 6 Villa Nueva  ",0:10:00,"Base Villa Nueva",NO,"Sin Cobertura",,EBANO
638,C398,08.4.073,CAJERO,"ATM BURGER KING ZONA 9 (C398) FORZA",LOCAL,"7 Av. 2 C. Z. 9 al pie de La Torre",0:10:00,"Base Shell Carmel",NO,"Sin Cobertura",,EBANO
639,C399,08.3.128,CAJERO,"ATM MEGACENTRO (C399) AGENCIA",LOCAL,"Calz Roosevelt 29-60 Z 7 C.C. Megacentro",0:10:00,Roosevelt,NO,"Sin Cobertura",,EBANO
640,C400,08.3.129,CAJERO,"ATM PRADERA ESCUINTLA (C400) AGENCIA",DEPARTAMENTAL,"7 Av. 1-40 Zona 3 Escuintla",0:10:00,"Agencia Escuintla",NO,"Sin Cobertura",,EBANO
641,C402,08.5.084,CAJERO,"ATM AEROCLUB (C402) PROSEGUR",LOCAL,"11 Av. 22-00 Z. 13 Int. Aeropuerto",0:15:00,"Zona 14",NO,"Sin Cobertura",,EBANO
642,C403,08.5.093,CAJERO,"ATM INTECAP ZONA 5 (C403) FORZA",LOCAL,"Calle Estadio Mateo Flores 7-51 Zona 5",0:10:00,"Base Texaco 24 Calle",NO,"Sin Cobertura",,EBANO
643,C405,08.4.077,CAJERO,"ATM C.C. ZONA 4 (C405) PROSEGUR",LOCAL,"6 Av. 0-60 C.C. Zona 4",0:10:00,"Base Shell Carmel",NO,"Sin Cobertura",,EBANO
644,C406,08.3.130,CAJERO,"ATM EL ESTOR (C406) AGENCIA",DEPARTAMENTAL,"7 Ave y 3 calle, zona 1, El Estor, Izabal.",2:00:00,"Agencia Pto. Barrios",NO,"Sin Cobertura",,EBANO
645,C407,08.3.131,CAJERO,"ATM COMERCIAL COATEPEQUE (C407) AGENCIA",DEPARTAMENTAL,"2 Av. A 8-14 Zona 2 C.C. Coatepeque, Local 31",0:10:00,"Agencia Ebano Coatepeque",NO,"Sin Cobertura",,EBANO
646,C408,08.3.132,CAJERO,"ATM PLAZA FLORIDA (C408) AGENCIA",LOCAL,"Clz. San Juan 1-83 Zona 7 de Mixco, Local 508",0:10:00,"Base Shell Florida",SI,"Sin Cobertura",,EBANO
647,C409,08.3.133,CAJERO,"ATM META TERMINAL (C409) AGENCIA",LOCAL,"11 Av. 4-78 Col. Atlántida Z. 18 local 111 y 112",0:10:00,"Base Shell Norte",NO,"Sin Cobertura",,EBANO
648,C410,08.3.134,CAJERO,"ATM ESCALA (C410) AGENCIA",LOCAL,"Km 14.5 Carrt. Al Salvador, C.C. Escala",0:10:00,"Base Shell Condado",NO,"Sin Cobertura",,EBANO
649,C411,08.5.095,CAJERO,"ATM KERNS I (C411) PROSEGUR",LOCAL,"Km 7 Carrt. Al Atlántico Zona 18",0:10:00,"Base Shell Norte",NO,"Sin Cobertura",,EBANO
650,C413,08.3.135,CAJERO,"ATM SAN MIGUEL IXTAHUACAN (C413) AGENCIA",DEPARTAMENTAL,"Calle principal, a un costado del mercado municipa",2:30:00,"Agencia San Marcos",NO,"Sin Cobertura",,EBANO
651,C415,08.4.085,CAJERO,"ATM PASEO MIRAFLORES III (C415) FORZA",LOCAL,"21 Av. 4-32 Z. 11 C.C. Galerías Miraflores",0:10:00,"Base Shell Kaminal",NO,"Sin Cobertura",,EBANO
652,C416,08.4.086,CAJERO,"ATM PASEO MIRAFLORES IV (C416) AGENCIA",LOCAL,"21 Av. 4-32 Z. 11 C.C. Galerías Miraflores",0:20:00,"Base Shell Kaminal",NO,"Sin Cobertura",,EBANO
653,C417,08.4.087,CAJERO," ATM SHELL LAS MAGNOLIAS TACTIC (C417) FORZA",DEPARTAMENTAL,"Km 183 Barrio Las Magnolias Tactic, Alta V.",1:30:00,"Agencia Coban",NO,"Sin Cobertura",,EBANO
654,C421,08.5.097,CAJERO," ATM EDIFICIO URL XELA CENTRAL (C421) FORZA",DEPARTAMENTAL,"14 Av. 0-43 Zona 3 Quetzaltenango",0:10:00,"Agencia Xela",NO,"Sin Cobertura",,EBANO
655,C422,08.5.098,CAJERO," ATM URL XELA HNO. PEDRO (C422) FORZA",DEPARTAMENTAL,"21 Av. 8-10 Zona 3 Quetzaltenango",0:10:00,"Agencia Xela",NO,"Sin Cobertura",,EBANO
656,C423,08.4.332,CAJERO,"ATM SUP 24 BOSQUES DE SAN NICOLAS (C423) PROSEGUR",LOCAL,"7ª. Calle 35-21 Zona 4, Colonia Bosques de San Nic",0:10:00,"Base Shell Florida",NO,"Sin Cobertura",,EBANO
657,C424,08.3.136,CAJERO,"ATM EL PROGRESO, JUTIAPA (C424) AGENCIA",DEPARTAMENTAL,"0 calle 4-05 z.2 Calzada Julio Way",0:15:00,"Agencia Jutiapa",NO,"Sin Cobertura",,EBANO
658,C426,08.4.076,CAJERO,"ATM OASIS EXPRESS (C426) FORZA",DEPARTAMENTAL,"Km. 60.5 Autopista Puerto Quetzal",0:10:00,"Agencia Escuintla",NO,"Sin Cobertura",,EBANO
659,C427,08.4.090,CAJERO," ATM SELECT EL FRUTAL (C427) PROSEGUR",LOCAL,"Area Comercial el Frutal Zona 5 Villa Nueva",0:15:00,"Base Villa Nueva",NO,"Sin Cobertura",,EBANO
660,C428,08.4.091,CAJERO,"ATM SELECT LA ESPERANZA (C428) PROSEGUR",LOCAL,"Km. 14.5 Carrt. Al Pacífico entrada a San José Vil",0:15:00,"Base Villa Nueva",NO,"Sin Cobertura",,EBANO
661,C430,08.4.108,CAJERO,"ATM GEMINIS 10 (C430) PROSEGUR",LOCAL,"12 Calle 1-25 Zona 10, Edificio Geminis 10 ( 2do n",0:10:00,"Base Zona 10",NO,"Sin Cobertura",,EBANO
662,C432,08.5.102,CAJERO,"ATM INGENIO LA UNION (C432) FORZA",DEPARTAMENTAL,"Km. 101 carrt. Al Pacifico Cerro Colorado Sta. Lucia",0:25:00,"Agencia Santa Lucia",NO,"Sin Cobertura",,EBANO
663,C435,08.3.140,CAJERO,"ATM MATAQUESCUINTLA (C435) AGENCIA",DEPARTAMENTAL,"Costado norte de la muni Mataquescuintla",1:00:00,"Agencia Jalapa",NO,"Sin Cobertura",,EBANO
664,C436,08.4.092,CAJERO,"ATM STAR MART VISTA HERMOSA (C436) PROSEGUR",LOCAL,"2a calle  7-64 zona  10",0:10:00," Base B.I. Vista Hermosa",NO,"Sin Cobertura",,EBANO
665,C437,08.4.105,CAJERO,"ATM STAR MART PUERTA PARADA (C437) PROSEGUR",LOCAL,"Km 14.5 Carretera a El Salvador, Puerta Parada",0:10:00,"Base Shell Condado",NO,"Sin Cobertura",,EBANO
666,C438,08.4.093,CAJERO,"ATM STAR MART LA CUCHILLA (C438) FORZA",LOCAL,"Km 25.5 Carretera al Salvador cruce a Santa Elena",0:20:00,"Base Shell Condado",NO,"Sin Cobertura",,EBANO
667,C439,08.4.096,CAJERO,"ATM TEXACO ATANASIO TZUL (C439) PROSEGUR",LOCAL,"Calzada Atanacio Tzul 18-23 Z.12",0:10:00,"Base Shell Santa Elisa",NO,"Sin Cobertura",,EBANO
668,C440,08.4.101,CAJERO,"ATM TEXACO GUAYACAN (C440) PROSEGUR",LOCAL,"Avenida Petapa 45-25 zona 12",0:10:00,"Base Shell Santa Elisa",NO,"Sin Cobertura",,EBANO
669,C441,08.4.094,CAJERO,"ATM STAR MART SERVI SUR (C441) PROSEGUR",LOCAL,"Calz. Aguilar Batres 19-64 z.11",0:10:00,"Base Shell Aguilar Batres",NO,"Sin Cobertura",,EBANO
670,C442,08.4.100,CAJERO,"ATM STAR MART SAN MIGUEL PETAPA (C442) PROSEGUR",LOCAL,"Km 25 Carretera de Villa Nueva a San Miguel Petapa",0:20:00,"Base Villa Nueva",NO,"Sin Cobertura",,EBANO
671,C444,08.4.106,CAJERO,"ATM STAR MART SAN RAFAEL (C444) PROSEGUR",LOCAL,"Km 6.5 Carretera a El Atlántico  Zona  18",0:10:00,"Base Shell Norte",NO,"Sin Cobertura",,EBANO
672,C445,08.4.097,CAJERO,"ATM TEXACO ALMA GRANDE  (C445) PROSEGUR",LOCAL,"15 Avenida 44-50 zona 6",0:10:00,"Base B.I. Parroquia",NO,"Sin Cobertura",,EBANO
673,C446,08.4.102,CAJERO,"ATM STAR MART SAN LUCAS (C446) FORZA",DEPARTAMENTAL,"Km. 29.5 Carretera Interamericana, San Lucas",0:10:00,"Agencia Antigua",NO,"Sin Cobertura",,EBANO
674,C447,08.4.107,CAJERO,"ATM STAR MART MILENIO (C447) PROSEGUR",LOCAL,"sSector B-6 3 calle 14-06 z.8 boulevar Sn. Cristob",0:10:00,"Base Shell Aguilar Batres",NO,"Sin Cobertura",,EBANO
675,C448,08.4.104,CAJERO,"ATM STAR MART EL TESORO (C448) FORZA",LOCAL,"Calzada Roosevelt 44-97 zona 11",0:10:00,"Base Oficinas Centrales",NO,"Sin Cobertura",,EBANO
676,C449,08.3.149,CAJERO,"ATM MALACATAN (C449) AGENCIA",DEPARTAMENTAL,"5 calle 5av. Esquina zona 1 Malacatan",0:10:00,"Agencia San Marcos",NO,"Sin Cobertura",,EBANO
677,C450,08.4.109,CAJERO,"ATM MEGA SEIS II (C450) PROSEGUR",LOCAL,"15 Avenida 16-11 Zona 6",0:10:00,"Base B.I. Parroquia",NO,"Sin Cobertura",,EBANO
678,C451,08.3.137,CAJERO,"ATM PEDRO DE ALVARADO (C451) AGENCIA",DEPARTAMENTAL,"Carr. Centro americana II km.160 ciudad Pedro Alva",0:10:00,"Agencia Pedro de A.",NO,"Sin Cobertura",,EBANO
679,C452,08.5.101,CAJERO,"ATM CORTE DE CONSTITUCIONALIDAD (C452) PROSEGUR",LOCAL,"11 av. 9-37 zona 1",0:10:00,"Zona 1",NO,"Sin Cobertura",,EBANO
680,C454,08.3.144,CAJERO,"ATM CHIMALTENANGO II (C454) AGENCIA",DEPARTAMENTAL,"1a. Av. 1-88 zona 1 Chimaltenango",0:10:00,"Agencia Chimaltgo.",NO,"Sin Cobertura",,EBANO
681,C455,08.3.143,CAJERO,"ATM FRAIJANES (C455) AGENCIA",LOCAL,"Km. 20 cc las vistas local #20",0:15:00,"Base Shell Condado",NO,"Sin Cobertura",,EBANO
682,C456,08.3.138,CAJERO,"ATM COMERCIAL ATANASIO II (C456) AGENCIA",LOCAL,"51 Calle y Avenida petapa zona 12 C.C. Gran Plaza",0:10:00,"Base Shell Santa Elisa",NO,"Sin Cobertura",,EBANO
683,C457,08.3.141,CAJERO,"ATM VISTA HERMOSA III (C457) AGENCIA",LOCAL,"Boulevar Vista Hermosa 16-14 z. 15 col. El Maestro",0:10:00," Base B.I. Vista Hermosa",NO,"Sin Cobertura",,EBANO
684,C458,08.5.103,CAJERO,"ATM LA PANERIA  (C458) PROSEGUR",LOCAL,"50 calle 23-70 Zona 12",0:10:00,"Base Shell Santa Elisa",NO,"Sin Cobertura",,EBANO
685,C459,08.3.139,CAJERO,"ATM LIZTEX LOBBY (C459) AGENCIA",LOCAL,"Km. 30.5 Carret. Al Pacifico Amatitlan",0:10:00,Amatitlan,NO,"Sin Cobertura",,EBANO
686,C460,08.4.111,CAJERO,"ATM C.C. PETAPA (C460) PROSEGUR",LOCAL,"Avenida Petapa 35-40 Zona 12  1er nivel",0:10:00,"Base Shell Santa Elisa",NO,"Sin Cobertura",,EBANO
687,C461,08.4.103,CAJERO,"ATM SHELL ARRAZOLA (C461) PROSEGUR",LOCAL,"Km 17,2 Carretera a El Salvador, Guatemala",0:10:00,"Base Shell Condado",NO,"Sin Cobertura",,EBANO
688,C463,08.4.110,CAJERO,"ATM C.C. CERCA MARISCAL  (C463) PROSEGUR",LOCAL,"Diagonal 17 24-40 Zona 11 Colonia Mariscal",0:10:00,"Base Shell Aguilar Batres",NO,"Sin Cobertura",,EBANO
689,C464,08.3.148,CAJERO,"ATM POPTUN, PETEN (C464) AGENCIA",DEPARTAMENTAL,"Av. 15 Septiembre 7-27 z.1 Poptun",0:10:00,"Agencia Poptún",NO,"Sin Cobertura",,EBANO
690,C465,08.3.146,CAJERO,"ATM LA MESILLA (C465) AGENCIA",DEPARTAMENTAL,"Entrada principal barrio Villa Nueva aldea meSIlla",2:30:00,"Agencia Huehue",NO,"Sin Cobertura",,EBANO
691,C466,08.3.145,CAJERO,"ATM TECULUTAN II  (C466) FORZA",DEPARTAMENTAL,"Carretera al Atlantico Km. 121 2-53 Z. 2 Teculután",0:10:00,"Agencia Teculutan",NO,"Sin Cobertura",,EBANO
692,C467,08.3.147,CAJERO,"ATM HUEHUETENANGO II (C467) AGENCIA",DEPARTAMENTAL,"Huehuetenango 9av. 6-75 zona 1",0:10:00,"Agencia Huehue",NO,"Sin Cobertura",,EBANO
693,C468,08.4.135,CAJERO,"ATM PRADERA PTO. BARRIOS (C468) AGENCIA",DEPARTAMENTAL,"Km. 292.5, Carretera al Altlantico, Centro Comerci",0:10:00,"Agencia Pto. Barrios",SI,"Sin Cobertura",SI,EBANO
694,C469,08.5.142,CAJERO,"ATM  SANTA ROSALIA (C469) PROSEGUR",LOCAL,"Km. 12.5 Carretera a El Salvador, Interior Condominio Sta. Rosalia",0:10:00,"Base Shell Condado",NO,"Sin Cobertura",,EBANO
695,C471,08.3.151,CAJERO,"ATM AGEXPORT (C471) AGENCIA",LOCAL,"14 calle 14-30 z.13",0:10:00,"Base Americas",NO,"Sin Cobertura",,EBANO
696,C472,08.5.112,CAJERO," ATM INTECAP XELA (C472) FORZA",DEPARTAMENTAL,"6 calle 29-50 z.3 Quetzaltenango",0:10:00,"Agencia Xela",NO,"Sin Cobertura",,EBANO
697,C473,08.4.301,CAJERO,"ATM DESP. SUMPANGO (C473) FORZA",DEPARTAMENTAL,"0 avenida 2-48  zona 2, Sumpango, Sacatepequez",0:45:00,"Agencia Antigua",NO,0.006944444,CHIMALTENANGO,EBANO
698,C474,08.5.153,CAJERO,"ATM COSTUMER 24/7 (C474) FORZA",LOCAL,"Avenida AtanaSIo Tzul 22-00 zona 12, Centro Empres",0:10:00,"Base Shell Santa Elisa",NO,"Sin Cobertura",,EBANO
